                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54434,                0.74875,                      1,                0.56427,               0.067614,             0.00057685,             0.00057685
                      2,                0.46157,                0.86537,                      1,                0.46558,               0.034852,              0.0011486,              0.0011486
                      3,                0.41642,                0.84484,                      1,                0.46286,              0.0020791,              0.0017087,              0.0017087
                      4,                0.39199,                0.76026,                      1,                0.53455,              0.0016976,              0.0016976,              0.0016976
                      5,                0.38739,                0.88138,                      1,                0.44537,              0.0016801,              0.0016801,              0.0016801
                      6,                 0.3744,                0.86787,                      1,                0.45605,              0.0016626,              0.0016626,              0.0016626
                      7,                0.36109,                0.77778,                      1,                0.51331,              0.0016451,              0.0016451,              0.0016451
                      8,                0.35239,                0.67467,                      1,                0.59601,              0.0016276,              0.0016276,              0.0016276
                      9,                0.35612,                0.85185,                      1,                0.47391,              0.0016101,              0.0016101,              0.0016101
                     10,                0.34017,                0.83834,                      1,                0.47617,              0.0015927,              0.0015927,              0.0015927
                     11,                0.33824,                 0.7983,                      1,                0.50912,              0.0015752,              0.0015752,              0.0015752
                     12,                 0.3344,                0.89189,                      1,                0.44229,              0.0015577,              0.0015577,              0.0015577
                     13,                0.32859,                0.68919,                      1,                0.58197,              0.0015402,              0.0015402,              0.0015402
                     14,                 0.3303,                0.85536,                      1,                  0.461,              0.0015227,              0.0015227,              0.0015227
                     15,                0.31754,                0.87938,                      1,                0.44144,              0.0015052,              0.0015052,              0.0015052
                     16,                0.32816,                0.87037,                      1,                0.46313,              0.0014878,              0.0014878,              0.0014878
                     17,                0.31531,                0.87387,                      1,                0.45984,              0.0014703,              0.0014703,              0.0014703
                     18,                0.30668,                0.87988,                      1,                0.45227,              0.0014528,              0.0014528,              0.0014528
                     19,                0.30763,                0.89239,                      1,                0.44055,              0.0014353,              0.0014353,              0.0014353
                     20,                0.30318,                0.87688,                      1,                0.45621,              0.0014178,              0.0014178,              0.0014178
                     21,                0.30552,                0.91742,                      1,                0.41745,              0.0014004,              0.0014004,              0.0014004
                     22,                0.29857,                0.88438,                      1,                0.44333,              0.0013829,              0.0013829,              0.0013829
                     23,                0.30118,                 0.8994,                      1,                 0.4278,              0.0013654,              0.0013654,              0.0013654
                     24,                0.29706,                0.88939,                      1,                0.44547,              0.0013479,              0.0013479,              0.0013479
                     25,                 0.2948,                0.88288,                      1,                0.45151,              0.0013304,              0.0013304,              0.0013304
                     26,                0.29549,                0.88088,                      1,                0.44632,              0.0013129,              0.0013129,              0.0013129
                     27,                0.29157,                0.86787,                      1,                0.45944,              0.0012955,              0.0012955,              0.0012955
                     28,                0.28844,                0.86537,                      1,                0.45569,               0.001278,               0.001278,               0.001278
                     29,                0.28361,                0.85736,                      1,                0.45715,              0.0012605,              0.0012605,              0.0012605
                     30,                0.28631,                0.86987,                      1,                0.45041,               0.001243,               0.001243,               0.001243
                     31,                0.27855,                0.87588,                      1,                 0.4505,              0.0012255,              0.0012255,              0.0012255
                     32,                0.27881,                0.86436,                      1,                0.46069,               0.001208,               0.001208,               0.001208
                     33,                 0.2736,                0.88839,                      1,                0.44095,              0.0011906,              0.0011906,              0.0011906
                     34,                0.27924,                0.91942,                      1,                0.41522,              0.0011731,              0.0011731,              0.0011731
                     35,                0.27718,                0.89039,                      1,                0.43359,              0.0011556,              0.0011556,              0.0011556
                     36,                0.27615,                0.88789,                      1,                0.43604,              0.0011381,              0.0011381,              0.0011381
                     37,                0.26867,                0.91491,                      1,                0.42282,              0.0011206,              0.0011206,              0.0011206
                     38,                0.26996,                0.91191,                      1,                 0.4194,              0.0011031,              0.0011031,              0.0011031
                     39,                0.26944,                0.91241,                      1,                0.42325,              0.0010857,              0.0010857,              0.0010857
                     40,                0.26366,                0.87688,                      1,                0.44376,              0.0010682,              0.0010682,              0.0010682
                     41,                0.26721,                0.87688,                      1,                0.44379,              0.0010507,              0.0010507,              0.0010507
                     42,                0.26067,                0.88238,                      1,                0.44321,              0.0010332,              0.0010332,              0.0010332
                     43,                0.26361,                 0.9004,                      1,                0.42441,              0.0010157,              0.0010157,              0.0010157
                     44,                0.25659,                0.91391,                      1,                 0.4191,             0.00099825,             0.00099825,             0.00099825
                     45,                0.25763,                0.89289,                      1,                0.43112,             0.00098077,             0.00098077,             0.00098077
